exposure,outcome,std,pval,k,qval
Body mass index (BMI)  || id:ukb-b-19953,Coronary artery disease || id:ebi-a-GCST005195,0.044946965,1.72E-22,1,1.55E-20
Body mass index (BMI)  || id:ukb-b-19953,Coronary artery disease || id:ebi-a-GCST005195,0.044946965,1.72E-22,2,7.74E-21
Arm fat mass (left)  || id:ukb-b-8338,Coronary artery disease || id:ebi-a-GCST005195,0.044335281,1.29E-20,3,3.87E-19
Leg fat mass (left)  || id:ukb-b-7212,Coronary artery disease || id:ebi-a-GCST005195,0.058262498,2.65E-19,4,5.96E-18
Waist circumference  || id:ukb-b-9405,Coronary artery disease || id:ebi-a-GCST005195,0.055907597,1.60E-17,5,2.88E-16
Leg fat mass (right)  || id:ukb-b-18096,Coronary artery disease || id:ebi-a-GCST005195,0.056791304,2.05E-17,6,3.08E-16
Usual walking pace  || id:ukb-b-4711,Coronary artery disease || id:ebi-a-GCST005195,0.111927316,2.86E-17,7,3.68E-16
"Systolic blood pressure, automated reading  || id:ukb-b-20175",Coronary artery disease || id:ebi-a-GCST005195,0.069293638,8.69E-16,8,9.78E-15
Trunk fat percentage  || id:ukb-b-16407,Coronary artery disease || id:ebi-a-GCST005195,0.055485453,3.66E-15,9,3.66E-14
Arm fat percentage (right)  || id:ukb-b-12854,Coronary artery disease || id:ebi-a-GCST005195,0.05566984,6.89E-15,10,6.20E-14
Body fat percentage  || id:ukb-b-8909,Coronary artery disease || id:ebi-a-GCST005195,0.060644906,8.44E-15,11,6.91E-14
Arm fat mass (right)  || id:ukb-b-6704,Coronary artery disease || id:ebi-a-GCST005195,0.049488076,1.63E-14,12,1.22E-13
Arm fat percentage (left)  || id:ukb-b-20188,Coronary artery disease || id:ebi-a-GCST005195,0.063057192,1.13E-13,13,7.82E-13
Leg fat percentage (right)  || id:ukb-b-20531,Coronary artery disease || id:ebi-a-GCST005195,0.075888631,1.05E-12,14,6.75E-12
Weight  || id:ukb-b-11842,Coronary artery disease || id:ebi-a-GCST005195,0.0573155,3.60E-12,15,2.16E-11
Weight  || id:ukb-b-11842,Coronary artery disease || id:ebi-a-GCST005195,0.0573155,3.60E-12,16,2.03E-11
Leg fat percentage (left)  || id:ukb-b-18377,Coronary artery disease || id:ebi-a-GCST005195,0.078690092,4.06E-12,17,2.15E-11
Trunk fat mass  || id:ukb-b-20044,Coronary artery disease || id:ebi-a-GCST005195,0.046569619,8.00E-12,18,4.00E-11
Whole body fat mass  || id:ukb-b-19393,Coronary artery disease || id:ebi-a-GCST005195,0.048934988,4.44E-11,19,2.10E-10
Impedance of arm (right)  || id:ukb-b-7859,Coronary artery disease || id:ebi-a-GCST005195,0.068819375,2.37E-08,20,1.07E-07
Sleeplessness / insomnia  || id:ukb-b-3957,Coronary artery disease || id:ebi-a-GCST005195,0.094213991,7.53E-08,21,3.23E-07
Plays computer games  || id:ukb-b-4779,Coronary artery disease || id:ebi-a-GCST005195,0.10203196,7.53E-08,22,3.08E-07
Impedance of arm (left)  || id:ukb-b-19379,Coronary artery disease || id:ebi-a-GCST005195,0.070278595,2.08E-07,23,8.14E-07
Forced vital capacity (FVC)  || id:ukb-b-7953,Coronary artery disease || id:ebi-a-GCST005195,0.062915579,4.48E-07,24,1.68E-06
Cheese intake  || id:ukb-b-1489,Coronary artery disease || id:ebi-a-GCST005195,0.058205427,6.82E-07,25,2.46E-06
Variation in diet  || id:ukb-b-2909,Coronary artery disease || id:ebi-a-GCST005195,0.131115671,2.77E-06,26,9.59E-06
Time spent watching television (TV)  || id:ukb-b-5192,Coronary artery disease || id:ebi-a-GCST005195,0.065720696,3.92E-06,27,1.31E-05
Current tobacco smoking  || id:ukb-b-223,Coronary artery disease || id:ebi-a-GCST005195,0.148325688,1.05E-05,28,3.38E-05
