exposure,outcome,std,pval,k,qval
Waist circumference  || id:ukb-b-9405,Type2 Diabetes,0.09580946,3.38E-27,1,2.77E-25
Weight  || id:ukb-b-11842,Type2 Diabetes,0.095285911,9.25E-22,2,3.79E-20
Weight  || id:ukb-b-11842,Type2 Diabetes,0.095285911,9.25E-22,3,2.53E-20
Whole body fat mass  || id:ukb-b-19393,Type2 Diabetes,0.083272781,1.64E-21,4,3.36E-20
Arm fat mass (left)  || id:ukb-b-8338,Type2 Diabetes,0.086487204,4.86E-20,5,7.97E-19
Leg fat percentage (right)  || id:ukb-b-20531,Type2 Diabetes,0.13040867,1.00E-18,6,1.37E-17
Arm fat mass (right)  || id:ukb-b-6704,Type2 Diabetes,0.0891328,9.28E-18,7,1.09E-16
Body mass index (BMI)  || id:ukb-b-19953,Type2 Diabetes,0.080766084,1.28E-17,8,1.31E-16
Body mass index (BMI)  || id:ukb-b-19953,Type2 Diabetes,0.080766084,1.28E-17,9,1.17E-16
Leg fat mass (right)  || id:ukb-b-18096,Type2 Diabetes,0.10793164,1.40E-16,10,1.15E-15
Arm fat percentage (right)  || id:ukb-b-12854,Type2 Diabetes,0.107369666,1.58E-16,11,1.18E-15
Leg fat mass (left)  || id:ukb-b-7212,Type2 Diabetes,0.102634441,6.11E-15,12,4.18E-14
Body fat percentage  || id:ukb-b-8909,Type2 Diabetes,0.111324723,1.27E-13,13,8.01E-13
Arm fat percentage (left)  || id:ukb-b-20188,Type2 Diabetes,0.107098123,1.83E-13,14,1.07E-12
Trunk fat mass  || id:ukb-b-20044,Type2 Diabetes,0.081444311,2.45E-13,15,1.34E-12
Trunk fat percentage  || id:ukb-b-16407,Type2 Diabetes,0.095906205,1.57E-10,16,8.05E-10
Impedance of whole body  || id:ukb-b-19921,Type2 Diabetes,0.115229626,1.97E-08,17,9.50E-08
Hip circumference  || id:ukb-b-15590,Type2 Diabetes,0.090774126,1.69E-07,18,7.70E-07
Whole body water mass  || id:ukb-b-14540,Type2 Diabetes,0.149294319,1.99E-05,19,8.59E-05
